,restaurant_name,Location,Cuisine,Price for 2,Ratings,Votes
0,The Black Pearl,Sholinganallur,"North Indian, European, Mediterranean, Continental, BBQ",1500,4.9,2857
1,Coal Barbecues,T. Nagar,"North Indian, Mediterranean, Asian, Arabian, BBQ",1400,4.9,7320
2,Palmshore,Medavakkam,"North Indian, Chinese, Arabian",700,4.5,441
3,Fromage,MRC Nagar,"Cafe, Italian, French, European",1000,4.5,1073
4,Savoury Sea Shell,Anna Nagar East,"Arabian, Chinese, North Indian, Lebanese, Salad",1400,4.1,2446
5,Dhaba Estd 1986 Delhi,Nungambakkam,North Indian,1800,4.7,1663
6,Onesta,Semmancheri,"Pizza, Italian, Fast Food, Beverages, Desserts",600,4.9,5119
7,AB's - Absolute Barbecues,Velachery,"BBQ, North Indian, European, Beverages",1400,4.8,3631
8,The Bark,Alwarpet,"Cafe, Mexican, Italian, Continental",800,4.3,535
9,SS Hyderabad Biryani,Kodambakkam,"North Indian, Chinese, Biryani",500,4.3,1027
10,Kappa Chakka Kandhari,Nungambakkam,Kerala,1200,4.6,672
11,Blind Ch3mistry,Besant Nagar,"Continental, Italian, Desserts",700,4.5,1558
12,Amelie's,Alwarpet,"Cafe, Continental, Italian",900,4.4,1322
13,Curry and Spices,Kodambakkam,"South Indian, Chettinad, North Indian, Chinese",650,4,744
14,Supriya Andhra Restaurant,Thuraipakkam,"Biryani, North Indian, Chinese",650,4,1849
15,Sukkubhai Biriyani,Alandur,"Biryani, North Indian",300,4.4,2334
16,Paradise,Porur,"Biryani, North Indian",800,4.3,1798
17,Sangeetha Veg Restaurant,T. Nagar,"South Indian, North Indian, Chinese",800,4.5,1381
18,Yaa Mohideen Biryani,Pallavaram,"Biryani, Chinese",400,4.5,3040
19,"3B's - Buddies, Bar & Barbecue",T. Nagar,North Indian,1200,4.5,1595
20,Orange Wok,Nungambakkam,"Malaysian, Chinese, Asian, Thai, Beverages, Momos",1000,4.2,623
21,Guntur Gongura,Sholinganallur,"Biryani, Andhra, North Indian, Chinese",500,3.7,2193
22,Nasi And Mee,Nungambakkam,"Singaporean, Malaysian, Chinese, Asian, Thai, Momos",1200,4.6,1444
23,Kipling Cafe,East Coast Road (ECR),"Continental, Thai, Italian",2400,4.1,2052
24,Joker's Kitchen,Alwarpet,"Continental, Italian",800,4.4,880
25,The Velveteen Rabbit,RA Puram,"Finger Food, Pizza",2000,4.4,468
26,Copper Kitchen,Kotturpuram,"Seafood, North Indian, Chinese, Chettinad",800,4.3,1321
27,Kobe Sizzlers,Velachery,"Continental, Italian, Steak, Chinese",1100,4.5,1578
28,Shree Mithai,Anna Nagar East,"Mithai, Street Food, Fast Food",300,4.4,1145
